"","Latitude","Longitude","Country","Count","GS","GSper","Custper","Ratio"
"77",43.339947,6.177749,"FR",1,930.8769,0.03,0.04,0.82
"78",43.341196,1.161965,"FR",1,2184.6494,0.08,0.04,1.92
"79",43.345669,5.117655,"FR",1,862.2124,0.03,0.04,0.76
"80",43.347588,3.230767,"FR",4,1817.0528,0.06,0.16,0.4
"81",43.349278,5.433722,"FR",2,414.1574,0.01,0.08,0.18
"82",43.360577,3.547189,"FR",1,496.5426,0.02,0.04,0.44
"83",43.360794,5.65839,"FR",1,279.2506,0.01,0.04,0.25
"84",43.364905,5.313378,"FR",1,266.5856,0.01,0.04,0.23
"85",43.372512,6.121284,"FR",1,2284.5426,0.08,0.04,2.01
"86",43.374989,-1.661337,"FR",2,1085.8995,0.04,0.08,0.48
"87",43.375852,0.501831,"FR",1,1308.2794,0.05,0.04,1.15
"88",43.37753,5.718208,"FR",1,1461.9365,0.05,0.04,1.29
"89",43.379892,5.049454,"FR",1,6329.9485,0.22,0.04,5.57
"90",43.382486,3.172704,"FR",2,1303.0653,0.05,0.08,0.57
"91",43.390507,5.228347,"FR",1,248.085,0.01,0.04,0.22
"92",43.39177,3.647051,"FR",4,5926.1454,0.21,0.16,1.3
"93",43.394196,5.532233,"FR",1,396.898,0.01,0.04,0.35
"94",43.402679,5.31547,"FR",1,682.4819,0.02,0.04,0.6
"95",43.408563,0.020435,"FR",1,310.3543,0.01,0.04,0.27
"96",43.416979,-0.558512,"FR",1,713.7719,0.02,0.04,0.63
"97",43.421628,-1.610354,"FR",1,238.8962,0.01,0.04,0.21
"98",43.423351,4.992663,"FR",2,2217.9224,0.08,0.08,0.98
"99",43.428509,6.652128,"FR",1,465.5006,0.02,0.04,0.41
"100",43.429024,1.594394,"FR",3,6543.5139,0.23,0.12,1.92
"101",43.429298,3.577745,"FR",5,6470.1328,0.22,0.2,1.14
"102",43.437808,5.699952,"FR",1,620.7713,0.02,0.04,0.55
"103",43.440889,2.963532,"FR",1,1055.2299,0.04,0.04,0.93
"104",43.442123,-1.447668,"FR",1,744.6894,0.03,0.04,0.65
"105",43.442612,3.37325,"FR",1,210.9586,0.01,0.04,0.19
"106",43.449783,5.263577,"FR",2,1371.7932,0.05,0.08,0.6
"107",43.450769,3.274959,"FR",2,1246.1347,0.04,0.08,0.55
"108",43.452187,-0.228595,"FR",2,3779.5068,0.13,0.08,1.66
"109",43.452606,5.479638,"FR",1,1241.1702,0.04,0.04,1.09
"110",43.455402,5.014947,"FR",1,2313.098,0.08,0.04,2.03
"111",43.455681,4.904521,"FR",1,459.1672,0.02,0.04,0.4
"112",43.456429,-1.324758,"FR",1,186.1248,0.01,0.04,0.16
"113",43.459494,5.553057,"FR",1,1417.7327,0.05,0.04,1.25
"114",43.46763,1.381922,"FR",1,804.2886,0.03,0.04,0.71
"115",43.469584,-1.553098,"FR",1,434.5213,0.02,0.04,0.38
"116",43.471955,6.763615,"FR",1,2879.1757,0.1,0.04,2.53
"117",43.486418,6.068262,"FR",1,1191.5016,0.04,0.04,1.05
"118",43.491784,-1.516233,"FR",1,198.6043,0.01,0.04,0.17
"119",43.492225,-1.466076,"FR",2,794.2937,0.03,0.08,0.35
"120",43.502468,6.489432,"FR",1,434.4586,0.02,0.04,0.38
"121",43.503982,4.463963,"FR",1,186.1256,0.01,0.04,0.16
"122",43.509005,2.26662,"FR",1,629.8967,0.02,0.04,0.55
"123",43.510195,5.816462,"FR",1,481.3311,0.02,0.04,0.42
"124",43.513616,1.503837,"FR",1,4648.1736,0.16,0.04,4.09
"125",43.517057,3.803065,"FR",2,2287.9547,0.08,0.08,1.01
"126",43.519691,5.508192,"FR",1,1811.7134,0.06,0.04,1.59
"127",43.521839,3.19963,"FR",1,1811.961,0.06,0.04,1.59
"128",43.531769,1.238636,"FR",3,8108.881,0.28,0.12,2.38
"129",43.532799,3.67193,"FR",1,5713.3391,0.2,0.04,5.02
"130",43.535622,6.811087,"FR",1,310.3536,0.01,0.04,0.27
"131",43.53607,5.398574,"FR",1,291.7293,0.01,0.04,0.26
"132",43.536745,-1.465318,"FR",1,1340.6885,0.05,0.04,1.18
"133",43.540427,3.702761,"FR",1,248.2713,0.01,0.04,0.22
"134",43.544183,1.477823,"FR",1,1222.6678,0.04,0.04,1.08
"135",43.544921,1.342862,"FR",1,434.2724,0.02,0.04,0.38
"136",43.54639,-0.168607,"FR",1,232.7499,0.01,0.04,0.2
"137",43.546869,4.662156,"FR",3,9063.4696,0.31,0.12,2.66
"138",43.550268,4.951181,"FR",7,5043.2722,0.17,0.28,0.63
"139",43.55262,7.004275,"FR",2,2036.7051,0.07,0.08,0.9
"140",43.554448,5.202476,"FR",1,775.7932,0.03,0.04,0.68
"141",43.571628,3.832218,"FR",1,725.3804,0.03,0.04,0.64
"142",43.572976,7.00642,"FR",1,635.547,0.02,0.04,0.56
"143",43.57604,5.159536,"FR",1,496.6043,0.02,0.04,0.44
"144",43.576647,7.058366,"FR",1,322.7086,0.01,0.04,0.28
"145",43.57779,3.617278,"FR",1,434.5213,0.02,0.04,0.38
"146",43.581568,1.542123,"FR",3,1777.1329,0.06,0.12,0.52
"147",43.587465,7.106354,"FR",6,3824.9485,0.13,0.24,0.56
"148",43.592827,4.004256,"FR",3,3121.5462,0.11,0.12,0.92
"149",43.596141,7.001294,"FR",2,1079.628,0.04,0.08,0.47
"150",43.596381,1.431672,"FR",12,7492.4552,0.26,0.47,0.55
"151",43.608888,2.147393,"FR",1,217.1676,0.01,0.04,0.19
"152",43.610343,-1.041333,"FR",1,1381.6009,0.05,0.04,1.22
"153",43.611551,1.327002,"FR",4,3322.9475,0.12,0.16,0.73
"154",43.612556,3.166807,"FR",1,1508.0648,0.05,0.04,1.33
"155",43.61344,3.868516,"FR",12,13238.5134,0.46,0.47,0.97
"156",43.614222,5.044745,"FR",2,3704.4479,0.13,0.08,1.63
"157",43.615651,2.237872,"FR",1,222.7543,0.01,0.04,0.2
"158",43.616748,-0.022105,"FR",2,2718.5018,0.09,0.08,1.2
"159",43.623465,6.435671,"FR",3,6628.6307,0.23,0.12,1.94
"160",43.623764,3.795793,"FR",2,980.6673,0.03,0.08,0.43
"161",43.625846,4.30597,"FR",1,1526.6898,0.05,0.04,1.34
"162",43.628288,7.029544,"FR",3,5402.9207,0.19,0.12,1.58
"163",43.628467,5.576957,"FR",1,397.2086,0.01,0.04,0.35
"164",43.630838,5.159573,"FR",1,3220.0107,0.11,0.04,2.83
"165",43.639393,3.573846,"FR",1,347.6043,0.01,0.04,0.31
"166",43.641824,1.821037,"FR",1,1085.9612,0.04,0.04,0.96
"167",43.646288,5.068146,"FR",1,198.4181,0.01,0.04,0.17
"168",43.647027,3.699702,"FR",1,3164.2593,0.11,0.04,2.78
